Id,Tables,Join Conditions,Predicates,Cardinality
1669,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,=,1974,ci.person_id,>,2879940,ci.role_id,>,1",30938
1670,movie_keyword mk,,"mk.keyword_id,=,7802",169
1671,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,=,4,t.production_year,>,2007,mc.company_id,>,186965",5270
1672,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.production_year,=,2007,ci.person_id,>,1807046",1010830
1673,movie_companies mc,,"mc.company_id,=,53844",3
1674,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,7,mk.keyword_id,<,15576",2874117
1675,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,=,1,ci.person_id,=,881513",69
1676,"title t,movie_info mi,movie_info_idx mi_idx","t.id=mi.movie_id,t.id=mi_idx.movie_id","t.production_year,<,1997,mi.info_type_id,>,16,mi_idx.info_type_id,<,101",1509500
1677,"title t,movie_keyword mk",t.id=mk.movie_id,"t.production_year,>,1977,mk.keyword_id,=,6741",713
1678,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,>,3,mi.info_type_id,=,8",420585
1679,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,>,2,t.production_year,=,1991",23475
1680,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,<,6,mi_idx.info_type_id,=,101",312465
1681,title t,,"t.kind_id,=,7,t.production_year,>,1993",1117981
1682,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","mc.company_id,>,88562,mc.company_type_id,=,2",8656769
1683,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","mc.company_id,>,84153,mc.company_type_id,=,2",3024217
1684,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mk.keyword_id,=,2102",6519
1685,movie_companies mc,,"mc.company_id,=,85264,mc.company_type_id,=,2",291
1686,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.kind_id,=,1,mc.company_id,>,54299,ci.person_id,>,2200989,ci.role_id,=,2",866810
1687,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.kind_id,>,1,mc.company_id,<,40690,mc.company_type_id,=,1",890679
1688,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.production_year,=,1999,mi.info_type_id,=,4",43127
1689,"title t,movie_companies mc",t.id=mc.movie_id,"t.production_year,<,1914",100607
1690,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,=,1366313,ci.role_id,>,8",1
1691,cast_info ci,,"ci.person_id,=,3414356",1
1692,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,=,2007,mc.company_id,<,1448",54810
1693,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,<,7,t.production_year,<,2012,mi.info_type_id,>,98",477127
1694,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,>,1,t.production_year,<,1989,mc.company_id,<,400,mk.keyword_id,>,117",259273
1695,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,=,1,t.production_year,=,2011,mc.company_type_id,>,1",234354
1696,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,=,2013,ci.person_id,<,1620352",400038
1697,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,=,1,t.production_year,<,2012,mc.company_id,=,6,mc.company_type_id,<,2,mi.info_type_id,<,3",3681
1698,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,>,1,t.production_year,>,2008,mk.keyword_id,=,1884",116
1699,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,>,1,ci.person_id,>,39601,ci.role_id,=,1",6863640
1700,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","mc.company_id,>,4808,mc.company_type_id,<,2,mk.keyword_id,>,86299",358522
1701,movie_companies mc,,"mc.company_id,=,17058,mc.company_type_id,<,2",22
1702,movie_companies mc,,"mc.company_id,<,62197",1988613
1703,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","mc.company_id,<,657,mc.company_type_id,>,1,ci.person_id,>,2376855",1606513
1704,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,=,7,mi_idx.info_type_id,=,100,mk.keyword_id,<,13792",256311
1705,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,>,2009,ci.person_id,>,2651351,ci.role_id,<,4",550271
1706,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","mi.info_type_id,>,2,mk.keyword_id,=,3338",98899
1707,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.production_year,=,1996",4559091
1708,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.production_year,=,1989,mi_idx.info_type_id,<,101",11354
1709,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,<,2,t.production_year,<,2007,mi.info_type_id,=,6",4986921
1710,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,>,11156,mc.company_type_id,=,2",926013
1711,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,7,t.production_year,=,1980",5140
1712,movie_keyword mk,,"mk.keyword_id,<,10387",2989156
1713,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,=,7,t.production_year,=,2007",28888
1714,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,>,2,mi_idx.info_type_id,=,99",212359
1715,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.kind_id,<,3,mi_idx.info_type_id,=,101",883034
1716,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,<,1990,ci.person_id,>,1731928,ci.role_id,>,3",1642858
1717,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,6893,mc.company_type_id,<,2",4
1718,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,<,3,mi.info_type_id,>,7,mk.keyword_id,>,117",160502932
1719,"title t,movie_info mi,movie_info_idx mi_idx","t.id=mi.movie_id,t.id=mi_idx.movie_id","t.kind_id,<,7,mi.info_type_id,=,6,mi_idx.info_type_id,>,99",299573
1720,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,=,7,t.production_year,>,2009,mc.company_id,=,7851",6
1721,movie_keyword mk,,"mk.keyword_id,>,13338",1314934
1722,"title t,movie_keyword mk",t.id=mk.movie_id,"mk.keyword_id,<,1904",1401436
1723,movie_companies mc,,"mc.company_id,<,228",387626
1724,cast_info ci,,"ci.person_id,<,53496",474531
1725,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,<,7,t.production_year,=,1987,mi_idx.info_type_id,>,101",3
1726,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.kind_id,=,7,t.production_year,>,1956,ci.role_id,=,8",595025
1727,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,>,2,t.production_year,>,2002,mi_idx.info_type_id,>,99,mk.keyword_id,=,141",1176
1728,cast_info ci,,"ci.person_id,>,3014443,ci.role_id,<,7",2152954
1729,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,=,7,t.production_year,<,1961,ci.person_id,<,433090,ci.role_id,>,2,mi.info_type_id,<,16",76231
1730,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mk.keyword_id,<,6491",5892352
1731,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,<,7,t.production_year,=,1997",1350495
1732,movie_keyword mk,,"mk.keyword_id,=,79774",10
1733,cast_info ci,,"ci.person_id,<,3222387,ci.role_id,>,8",2492744
1734,cast_info ci,,"ci.person_id,=,2914529,ci.role_id,>,3",3940
1735,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.production_year,<,2005,mk.keyword_id,<,769",3416659
1736,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,37723,mc.company_type_id,=,2",3
1737,movie_companies mc,,"mc.company_id,>,55734",645831
1738,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","ci.person_id,>,831549,mk.keyword_id,=,460",253437
1739,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,=,7,t.production_year,>,1999",237921
1740,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,7,ci.person_id,=,1444071",109
1741,cast_info ci,,"ci.person_id,>,2253502,ci.role_id,<,4",5955454
1742,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,>,2007,ci.person_id,<,1819016,ci.role_id,=,2,mk.keyword_id,>,1934",70005
1743,"title t,movie_info mi",t.id=mi.movie_id,"t.production_year,>,1969,mi.info_type_id,<,7",4439839
1744,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.production_year,>,2006,ci.role_id,<,10",19407991
1745,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,11774,mc.company_type_id,=,1",236
1746,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,99868,mc.company_type_id,=,2",23
1747,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,<,4419,mc.company_type_id,=,1",689065
1748,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,1,t.production_year,=,1980,mi.info_type_id,=,7",4302
1749,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,>,1,mk.keyword_id,>,13541",1373607
1750,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,>,1437023,ci.role_id,=,8",1046685
1751,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,=,7,t.production_year,>,1987,mi_idx.info_type_id,=,99",108200
1752,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","ci.role_id,<,9,mi_idx.info_type_id,>,101",18952
1753,cast_info ci,,"ci.person_id,>,3712291,ci.role_id,>,2",1767417
1754,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.kind_id,<,4,t.production_year,=,2005,mc.company_type_id,=,2",799037
1755,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,>,1918",228068482
1756,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","mc.company_id,>,73505,mi.info_type_id,=,103",45816
1757,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,7,t.production_year,>,2012,ci.person_id,<,2108521,ci.role_id,=,4",14914
1758,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,=,1,t.production_year,=,2009,mk.keyword_id,<,1439",333526
1759,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,>,1,t.production_year,=,1973,ci.role_id,=,2",24692
1760,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,>,122,mc.company_type_id,>,1",1275291
1761,movie_keyword mk,,"mk.keyword_id,<,30518",3918846
1762,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","ci.person_id,<,750560,ci.role_id,<,2,mi.info_type_id,>,17",15198351
1763,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","ci.person_id,>,1449054,ci.role_id,>,6,mi.info_type_id,<,4",11497074
1764,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","ci.person_id,=,2937569,ci.role_id,>,4,mk.keyword_id,<,5787",1365
1765,movie_companies mc,,"mc.company_id,>,14069",1098827
1766,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","mc.company_id,=,19,mc.company_type_id,>,1,ci.person_id,<,398528",11918
1767,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,<,1913,mi_idx.info_type_id,=,99",6037
1768,cast_info ci,,"ci.person_id,>,473045",31372611
1769,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,7,t.production_year,>,1996,mi_idx.info_type_id,>,99",370730
1770,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","mc.company_id,=,21524",2458
1771,cast_info ci,,"ci.person_id,<,1127071,ci.role_id,>,5",1354900
1772,movie_companies mc,,"mc.company_id,<,67,mc.company_type_id,<,2",161275
1773,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,<,7,t.production_year,<,1979,ci.role_id,<,5,mi.info_type_id,<,18",46651390
1774,"title t,movie_keyword mk",t.id=mk.movie_id,"t.production_year,>,1986",2946979
1775,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,>,3,ci.person_id,=,788173,ci.role_id,>,3",141
1776,movie_companies mc,,"mc.company_id,=,1685",1037
1777,movie_keyword mk,,"mk.keyword_id,<,3659",2050717
1778,"title t,movie_info mi",t.id=mi.movie_id,"t.production_year,=,1999,mi.info_type_id,=,7",10389
1779,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,<,7,t.production_year,<,1960",120816
1780,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,7,ci.person_id,=,2718927,ci.role_id,=,10,mi_idx.info_type_id,<,101",48
1781,movie_keyword mk,,"mk.keyword_id,=,2209",10
1782,movie_companies mc,,"mc.company_id,=,817,mc.company_type_id,=,2",29
1783,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,>,1,t.production_year,<,1973,mk.keyword_id,>,73002",683
1784,movie_companies mc,,"mc.company_id,=,3571,mc.company_type_id,=,1",255
1785,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,<,7,mc.company_id,<,27",21454
1786,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,<,7,ci.person_id,=,420330,ci.role_id,=,1",1
1787,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,<,1982",8975153
1788,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,>,1,ci.person_id,=,1686554,mk.keyword_id,>,283",26
1789,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.production_year,<,1990,mi_idx.info_type_id,=,101",150725
1790,movie_keyword mk,,"mk.keyword_id,=,14889",130
1791,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","mc.company_id,>,554",3224151
1792,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,7,mk.keyword_id,>,2085",2598762
1793,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.production_year,>,1913,ci.person_id,=,3492422,ci.role_id,>,1,mi.info_type_id,>,1",111
1794,"title t,movie_keyword mk",t.id=mk.movie_id,"t.production_year,<,1996,mk.keyword_id,<,3483",893725
1795,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,>,1,t.production_year,=,1971,mk.keyword_id,<,2242",2436
1796,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,>,1,t.production_year,<,1991,ci.person_id,>,2325851,ci.role_id,=,8",123642
1797,movie_companies mc,,"mc.company_id,>,2586,mc.company_type_id,>,1",1078083
1798,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,1,t.production_year,<,1956",1757569
1799,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,<,4,ci.person_id,>,2153342,ci.role_id,<,4,mi_idx.info_type_id,>,100",1229530
1800,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,>,2988270",6728984
1801,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.kind_id,<,7,t.production_year,<,2011,mc.company_id,<,475",363464
1802,movie_companies mc,,"mc.company_id,<,8887",1147480
1803,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,>,3",1841238
1804,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,<,7,mi_idx.info_type_id,=,100,mk.keyword_id,<,27573",2634108
1805,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,<,7,t.production_year,<,1992",819499
1806,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,=,1,mc.company_id,<,466,mc.company_type_id,>,1,mi.info_type_id,>,8",214894
1807,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","mi.info_type_id,>,17,mk.keyword_id,<,13337",47410166
1808,cast_info ci,,"ci.person_id,>,2725513,ci.role_id,>,9",3507769
1809,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","ci.person_id,<,2604214,ci.role_id,=,1",14406374
1810,cast_info ci,,"ci.person_id,>,2898395",7792706
1811,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.production_year,>,2008,mk.keyword_id,<,62537",5177604
1812,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","mc.company_id,<,160849,mc.company_type_id,<,2,ci.person_id,>,2922725",11715724
1813,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.production_year,=,1950,mc.company_id,>,1700,mi.info_type_id,=,7",18231
1814,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","ci.role_id,>,10,mi.info_type_id,<,2",172965
1815,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,7,t.production_year,<,1979,ci.person_id,>,1374677,ci.role_id,>,1",884087
1816,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,<,7,t.production_year,<,1988,ci.person_id,<,703702,ci.role_id,=,11,mi.info_type_id,<,4",14952
1817,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,=,2011,mi_idx.info_type_id,=,101,mk.keyword_id,>,2319",70285
1818,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,>,2013,mk.keyword_id,<,12818",9879
1819,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,=,2007,ci.person_id,=,2342842,ci.role_id,>,1",28
1820,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,1,t.production_year,<,2013,mc.company_id,>,185861",44725
1821,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.production_year,=,2007,mi.info_type_id,=,4",103218
1822,cast_info ci,,"ci.person_id,<,2042547",20322951
1823,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,1,t.production_year,>,1998,mc.company_type_id,>,1",282430
1824,"title t,movie_keyword mk",t.id=mk.movie_id,"mk.keyword_id,>,121",4346368
1825,cast_info ci,,"ci.person_id,<,1178910,ci.role_id,>,1",3329901
1826,movie_keyword mk,,"mk.keyword_id,<,2892",1789924
1827,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,4,ci.role_id,>,3",349781
1828,movie_keyword mk,,"mk.keyword_id,<,16986",3479050
1829,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mk.keyword_id,<,15860",7817235
1830,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","mc.company_id,=,73622,mi_idx.info_type_id,>,101",1
1831,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","mc.company_id,>,11164,mc.company_type_id,=,2,ci.role_id,=,2",3858011
1832,cast_info ci,,"ci.person_id,<,969267",9853968
1833,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,=,1,t.production_year,<,1989,mi_idx.info_type_id,=,99",1154468
1834,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","ci.person_id,>,1509117,mk.keyword_id,<,9539",77705476
1835,movie_keyword mk,,"mk.keyword_id,<,403",569310
1836,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,<,7,ci.person_id,>,1519299",107094775
1837,movie_companies mc,,"mc.company_id,<,1710,mc.company_type_id,<,2",560123
1838,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,1,t.production_year,=,2013",174238
1839,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,<,7,t.production_year,>,1999",202486898
1840,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,<,7,ci.person_id,=,3031,ci.role_id,>,1,mk.keyword_id,>,831",9
1841,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,>,1,t.production_year,=,2003,mi_idx.info_type_id,<,101",586968
1842,cast_info ci,,"ci.person_id,=,772667,ci.role_id,=,4",2
1843,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","ci.person_id,>,756535,mk.keyword_id,>,527",146589878
1844,movie_info mi,,"mi.info_type_id,<,89",13835328
1845,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mk.keyword_id,<,8922",6658052
1846,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,4,t.production_year,=,2000",5758
1847,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.production_year,>,1988,ci.person_id,>,646949,mi_idx.info_type_id,>,99",16402510
1848,movie_companies mc,,"mc.company_id,=,2096,mc.company_type_id,>,1",327
1849,title t,,"t.kind_id,>,1,t.production_year,<,1960",52230
1850,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,1,ci.person_id,<,2211674",6387988
1851,"title t,movie_info mi",t.id=mi.movie_id,"t.production_year,=,1969",91403
1852,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,7,t.production_year,>,1982,ci.person_id,<,1661520,ci.role_id,<,2",5685453
1853,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.production_year,=,1966,ci.person_id,<,739132,ci.role_id,>,1",18019
1854,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,>,1986,ci.person_id,=,1585679",29
1855,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,<,17641,mc.company_type_id,>,1",527992
1856,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.production_year,>,1995,ci.person_id,>,1829499",13383477
1857,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","mk.keyword_id,<,3658",99384988
1858,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,7,t.production_year,<,1963,mc.company_id,<,119",34900
1859,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,>,3393086,ci.role_id,>,1",3680015
1860,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,>,1,t.production_year,=,2009,mk.keyword_id,>,30365",153652
1861,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,<,7,t.production_year,<,1988,mc.company_id,>,19",18825583
1862,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","mk.keyword_id,=,23222",4423
1863,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.production_year,>,2009,mc.company_id,<,11245,mi.info_type_id,>,6",2707889
1864,"title t,movie_info mi,movie_info_idx mi_idx","t.id=mi.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,4,t.production_year,<,2012,mi.info_type_id,=,6,mi_idx.info_type_id,<,101",12488
1865,movie_keyword mk,,"mk.keyword_id,<,842",888536
1866,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,=,2004,mi_idx.info_type_id,=,100",116011
1867,movie_companies mc,,"mc.company_id,>,85888",367830
1868,movie_keyword mk,,"mk.keyword_id,=,10781",443
1869,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,=,2005,mi.info_type_id,<,98",269741
1870,movie_keyword mk,,"mk.keyword_id,>,28900",650527
1871,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,<,1522364",15444771
1872,cast_info ci,,"ci.person_id,<,1442879",14640751
1873,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,=,2002",311223
1874,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,>,1,t.production_year,=,1994,mi.info_type_id,=,12",220
1875,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,3,t.production_year,>,2011,ci.person_id,<,2253446,ci.role_id,>,1",22610
1876,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,<,3822695",35007978
1877,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.production_year,>,1985,mi.info_type_id,>,5",266313212
1878,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","ci.person_id,>,979199",153342780
1879,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,<,7,t.production_year,>,1977",11279773
1880,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,=,1987,ci.person_id,<,1245139,ci.role_id,<,10",113470
1881,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,1,mc.company_id,<,6227,mi_idx.info_type_id,=,99",241777
1882,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,>,1,t.production_year,<,2003,ci.person_id,=,1475541",3870
1883,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.kind_id,=,3,mc.company_id,<,29376,ci.person_id,=,1333722,ci.role_id,<,5",47
